Symbol,Structure,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,,,,,,,,,,,,,
UPRO,ETF,0.95%,$0.04,0.09%,$674.90 ,7.1," 2,191,934 ", 2.95 ,,,,,,,,,,,,,
IGF,ETF,0.48%,$0.50,3.48%,$668.60 ,17.3," 92,841 ", (1.12),,,,,,,,,,,,,
NUGT,ETF,0.95%,,,$668.30 ,23.8," 5,320,916 ", (10.55),,,,,,,,,,,,,
MGC,ETF,0.12%,$0.30,1.90%,$666.70 ,10.6," 44,664 ", 0.98 ,,,,,,,,,,,,,
LAG,ETF,0.17%,$0.11,2.49%,$664.00 ,11.8," 49,309 ", (0.31),,,,,,,,,,,,,
MGV,ETF,0.12%,$0.31,2.25%,$663.50 ,12.1," 55,037 ", 1.03 ,,,,,,,,,,,,,
KXI,ETF,0.48%,$0.82,2.03%,$648.90 ,7.6," 40,633 ", 0.83 ,,,,,,,,,,,,,
TMV,ETF,0.95%,$7.35,18.33%,$646.10 ,8.8," 348,019 ", 3.70 ,,,,,,,,,,,,,
VQT,ETN,0.95%,,,$646.10 ,4.4," 29,616 ", 0.82 ,,,,,,,,,,,,,
PHB,ETF,0.50%,$0.07,4.62%,$642.90 ,33.5," 310,939 ", 0.28 ,,,,,,,,,,,,,
FNX,ETF,0.70%,$0.09,1.14%,$634.50 ,12.7," 65,428 ", 1.28 ,,,,,,,,,,,,,
RJI,ETN,0.75%,,,$630.80 ,76.7," 912,953 ", 0.75 ,,,,,,,,,,,,,
IGOV,ETF,0.35%,$0.25,1.74%,$622.30 ,6.3," 82,328 ", (0.63),,,,,,,,,,,,,
QAI,ETF,0.75%,$0.31,1.07%,$619.00 ,21.5," 135,845 ", (0.55),,,,,,,,,,,,,
HEDJ,ETF,0.58%,$0.18,1.65%,$617.90 ,11.1," 178,469 ", 1.26 ,,,,,,,,,,,,,
IDU,ETF,0.48%,$0.82,3.38%,$615.30 ,6.5," 212,244 ", (1.05),,,,,,,,,,,,,
DFE,ETF,0.58%,$0.12,2.77%,$610.60 ,10.8," 211,578 ", 1.26 ,,,,,,,,,,,,,
LEMB,ETF,0.60%,$0.14,3.20%,$606.50 ,12.4," 75,641 ", (0.88),,,,,,,,,,,,,
BAB,ETF,0.35%,$0.12,5.15%,$600.40 ,21.9," 168,958 ", (0.65),,,,,,,,,,,,,
PIZ,ETF,0.80%,$0.53,3.17%,$593.60 ,22.7," 186,752 ", 1.14 ,,,,,,,,,,,,,
YCS,Commodity Pool,0.95%,,,$586.80 ,8.3," 335,516 ", 1.79 ,,,,,,,,,,,,,
VCLT,ETF,0.12%,$0.33,5.15%,$576.60 ,7," 96,328 ", 0.95 ,,,,,,,,,,,,,
IPE,ETF,0.18%,$0.06,1.22%,$576.40 ,10.6," 45,544 ", (0.57),,,,,,,,,,,,,
VOX,ETF,0.14%,$3.24,6.82%,$570.10 ,6.8," 58,178 ", 1.13 ,,,,,,,,,,,,,
IHE,ETF,0.48%,$0.28,1.01%,$569.40 ,4.9," 19,694 ", 1.35 ,,,,,,,,,,,,,
SCHH,ETF,0.07%,$0.30,2.58%,$562.30 ,18.6," 115,047 ", (1.36),,,,,,,,,,,,,
XME,ETF,0.35%,$0.15,1.81%,$560.70 ,13.3," 2,528,319 ", 2.21 ,,,,,,,,,,,,,
TQQQ,ETF,0.95%,,,$550.00 ,4.5," 1,269,845 ", 3.35 ,,,,,,,,,,,,,
XLG,ETF,0.20%,$0.65,2.52%,$543.50 ,4.2," 22,306 ", 0.96 ,,,,,,,,,,,,,
RPV,ETF,0.35%,$0.11,1.43%,$537.20 ,10.9," 132,042 ", 1.19 ,,,,,,,,,,,,,
MOAT,ETF,0.49%,$0.23,0.80%,$536.70 ,18.7," 162,445 ", 1.02 ,,,,,,,,,,,,,
JKE,ETF,0.25%,$0.27,0.94%,$527.00 ,5.3," 35,019 ", 1.10 ,,,,,,,,,,,,,
TZA,ETF,0.95%,,,$525.20 ,30.7," 11,617,575 ", (4.16),,,,,,,,,,,,,
IEZ,ETF,0.48%,$0.14,0.75%,$524.00 ,8.1," 96,289 ", (1.63),,,,,,,,,,,,,
MDIV,ETF,0.60%,$0.19,5.70%,$523.40 ,25.3," 128,216 ", (0.68),,,,,,,,,,,,,
EDIV,ETF,0.59%,$0.21,5.93%,$522.50 ,13.5," 112,864 ", (1.63),,,,,,,,,,,,,
TILT,ETF,0.27%,$0.66,0.83%,$519.90 ,6.5," 19,583 ", 1.14 ,,,,,,,,,,,,,
BZF,ETF,0.45%,$5.73,30.34%,$519.70 ,29.8," 506,023 ", (1.57),,,,,,,,,,,,,
ALD,ETF,0.55%,$0.06,3.18%,$513.30 ,10.8," 35,966 ", (0.41),,,,,,,,,,,,,
INDA,ETF,0.65%,$0.10,0.40%,$510.80 ,20.9," 299,023 ", 2.45 ,,,,,,,,,,,,,
VIDI,ETF,0.75%,$0.02,0.09%,$510.50 ,21.2,, (1.37),,,,,,,,,,,,,
PALL,Grantor Trust,0.60%,,,$510.20 ,7.4," 70,650 ", (1.67),,,,,,,,,,,,,
BSJE,ETF,0.42%,$0.07,3.78%,$510.00 ,19.2," 110,272 ", (0.24),,,,,,,,,,,,,
USCI,Commodity Pool,0.95%,,,$509.50 ,9," 94,880 ", 0.57 ,,,,,,,,,,,,,
TMW,ETF,0.20%,$0.45,1.36%,$508.00 ,4.2," 4,278 ", 0.93 ,,,,,,,,,,,,,
THD,ETF,0.62%,$0.54,3.00%,$505.90 ,7.6," 215,484 ", (2.19),,,,,,,,,,,,,
BKF,ETF,0.69%,$0.23,2.48%,$502.10 ,13.4," 84,120 ", (1.95),,,,,,,,,,,,,
SDOG,ETF,0.40%,$0.29,3.54%,$497.50 ,14.6," 103,616 ", 1.00 ,,,,,,,,,,,,,
SCHZ,ETF,0.05%,$0.09,2.00%,$497.30 ,9.9," 63,025 ", (0.34),,,,,,,,,,,,,
GNR,ETF,0.40%,$0.46,3.42%,$495.50 ,9.9," 95,003 ", 1.16 ,,,,,,,,,,,,,
IAT,ETF,0.48%,$0.19,1.56%,$493.90 ,15," 149,814 ", 1.46 ,,,,,,,,,,,,,
CWI,ETF,0.34%,$0.42,3.96%,$493.60 ,14," 51,609 ", 1.08 ,,,,,,,,,,,,,
PCEF,ETF,0.50%,$0.18,8.13%,$490.70 ,20.2," 141,491 ", 0.68 ,,,,,,,,,,,,,
BLV,ETF,0.11%,$0.32,4.45%,$489.80 ,6," 74,691 ", (0.97),,,,,,,,,,,,,
PSP,ETF,0.60%,$0.62,15.37%,$489.50 ,41.2," 279,656 ", 1.06 ,,,,,,,,,,,,,
AGQ,Commodity Pool,0.95%,,,$486.00 ,29.4," 1,551,803 ", (5.66),,,,,,,,,,,,,
BSCG,ETF,0.24%,$0.02,1.74%,$486.00 ,21.9," 122,795 ", (0.14),,,,,,,,,,,,,
BBH,ETF,0.35%,$0.00,0.21%,$485.10 ,5.5," 85,159 ", 1.98 ,,,,,,,,,,,,,
BSCF,ETF,0.24%,$0.02,1.49%,$483.70 ,22.2," 118,677 ", (0.08),,,,,,,,,,,,,
RWM,ETF,0.95%,$24.57,,$479.40 ,28.4," 1,308,236 ", (1.41),,,,,,,,,,,,,
KIE,ETF,0.35%,$0.25,2.10%,$475.70 ,7.6," 169,628 ", 1.18 ,,,,,,,,,,,,,
FCG,ETF,0.60%,$0.00,0.37%,$472.80 ,24.1," 531,947 ", 2.13 ,,,,,,,,,,,,,
TOK,ETF,0.25%,$0.59,2.41%,$469.90 ,9," 28,058 ", 1.05 ,,,,,,,,,,,,,
GSY,ETF,0.27%,$0.04,1.21%,$461.50 ,9.2," 113,728 ", 0.06 ,,,,,,,,,,,,,
HYLD,ETF,1.25%,$0.31,7.05%,$459.30 ,8.9," 97,911 ", (0.40),,,,,,,,,,,,,
IHI,ETF,0.48%,$0.17,0.33%,$458.90 ,5," 61,886 ", 1.26 ,,,,,,,,,,,,,
INDY,ETF,0.89%,$0.08,0.77%,$447.60 ,19.3," 162,464 ", 2.72 ,,,,,,,,,,,,,
JKD,ETF,0.20%,$0.60,1.90%,$440.80 ,4.1," 11,845 ", 0.97 ,,,,,,,,,,,,,
EMLP,ETF,0.95%,$0.21,3.92%,$440.50 ,18.9," 85,822 ", 0.89 ,,,,,,,,,,,,,
BSCE,ETF,0.24%,$0.01,1.13%,$435.50 ,20.6," 111,102 ", 0.09 ,,,,,,,,,,,,,
SCHO,ETF,0.08%,$0.01,0.29%,$434.20 ,8.6," 79,598 ", (0.07),,,,,,,,,,,,,
BSCH,ETF,0.24%,$0.03,2.03%,$428.80 ,19.1," 130,242 ", (0.24),,,,,,,,,,,,,
FGD,ETF,0.60%,$0.30,5.70%,$426.70 ,16," 86,228 ", 1.07 ,,,,,,,,,,,,,
IEO,ETF,0.48%,$0.19,0.88%,$426.70 ,5.2," 102,373 ", (1.51),,,,,,,,,,,,,
SLY,ETF,0.20%,$0.23,1.19%,$420.80 ,4.1," 30,525 ", 1.29 ,,,,,,,,,,,,,
XIV,ETN,1.35%,,,$420.20 ,12," 11,335,294 ", 3.58 ,,,,,,,,,,,,,
FAZ,ETF,0.95%,,,$411.10 ,18.9," 5,267,469 ", (3.56),,,,,,,,,,,,,
FM,ETF,0.79%,$0.07,1.14%,$410.00 ,12.5," 124,958 ", 0.82 ,,,,,,,,,,,,,
GURU,ETF,0.75%,$0.98,3.84%,$402.90 ,15.8," 259,169 ", 1.22 ,,,,,,,,,,,,,
MXI,ETF,0.48%,$0.50,2.15%,$399.40 ,6.5," 46,350 ", 1.19 ,,,,,,,,,,,,,
SCHP,ETF,0.07%,$0.04,0.91%,$399.10 ,7.6," 34,080 ", (0.52),,,,,,,,,,,,,
FEP,ETF,0.80%,$0.07,1.64%,$398.70 ,12.1," 169,198 ", 1.27 ,,,,,,,,,,,,,
AGZ,ETF,0.20%,$0.12,1.18%,$398.40 ,3.6," 27,789 ", (0.27),,,,,,,,,,,,,
TUR,ETF,0.60%,$1.12,2.50%,$397.70 ,8.9," 345,516 ", (4.13),,,,,,,,,,,,,
QLTA,ETF,0.15%,$0.09,2.12%,$397.00 ,8," 18,833 ", (0.39),,,,,,,,,,,,,
EES,ETF,0.38%,$0.15,1.24%,$395.20 ,4.9," 39,755 ", 1.50 ,,,,,,,,,,,,,
DTD,ETF,0.28%,$0.14,2.25%,$391.30 ,5.9," 24,931 ", 0.92 ,,,,,,,,,,,,,
VGSH,ETF,0.14%,$0.01,0.41%,$389.10 ,6.4," 52,889 ", (0.08),,,,,,,,,,,,,
GMF,ETF,0.59%,$0.81,3.35%,$389.00 ,5.1," 27,586 ", 1.61 ,,,,,,,,,,,,,
ERUS,ETF,0.61%,$0.05,2.72%,$388.40 ,18," 427,552 ", (1.86),,,,,,,,,,,,,
IHF,ETF,0.48%,$0.05,0.24%,$384.30 ,4.2," 36,403 ", 1.33 ,,,,,,,,,,,,,
VMBS,ETF,0.12%,$0.07,1.36%,$377.20 ,7.4," 129,655 ", (0.39),,,,,,,,,,,,,
BSJG,ETF,0.42%,$0.08,4.09%,$373.90 ,13.9," 110,184 ", 0.22 ,,,,,,,,,,,,,
VNM,ETF,0.76%,$0.60,3.21%,$372.80 ,20," 156,863 ", 1.58 ,,,,,,,,,,,,,
ECH,ETF,0.59%,$0.03,1.44%,$365.80 ,7.8," 255,120 ", (1.84),,,,,,,,,,,,,
PIN,ETF,0.78%,$0.01,0.98%,$364.50 ,20.9," 837,713 ", 2.83 ,,,,,,,,,,,,,
PEY,ETF,0.50%,$0.03,3.28%,$364.10 ,30.8," 91,106 ", 1.14 ,,,,,,,,,,,,,
TDTF,ETF,0.20%,$0.03,0.53%,$363.80 ,14.7," 67,588 ", (0.32),,,,,,,,,,,,,
QID,ETF,0.95%,$9.51,,$362.20 ,23.9," 3,219,531 ", (2.23),,,,,,,,,,,,,
EEB,ETF,0.60%,$0.95,2.76%,$361.20 ,10.5," 53,278 ", (1.87),,,,,,,,,,,,,
TLTD,ETF,0.42%,$0.11,0.18%,$360.10 ,5.8," 42,339 ", 0.92 ,,,,,,,,,,,,,
WOOD,ETF,0.48%,$0.30,1.56%,$359.40 ,6.8," 29,841 ", 1.33 ,,,,,,,,,,,,,
VTWO,ETF,0.21%,$0.96,1.04%,$358.70 ,3.9," 50,484 ", 1.43 ,,,,,,,,,,,,,
INP,ETN,0.89%,,,$354.60 ,6.2," 55,112 ", 2.85 ,,,,,,,,,,,,,
SIVR,Grantor Trust,0.30%,,,$353.70 ,18," 112,470 ", (2.77),,,,,,,,,,,,,
FLRN,ETF,0.15%,$0.01,0.78%,$351.40 ,11.5," 47,306 ", (0.19),,,,,,,,,,,,,
SLYG,ETF,0.25%,$0.33,1.10%,$348.70 ,2," 10,827 ", 1.46 ,,,,,,,,,,,,,
PIE,ETF,0.90%,$0.09,1.41%,$348.20 ,19.3," 188,466 ", (1.64),,,,,,,,,,,,,
DOO,ETF,0.58%,$0.31,3.60%,$347.90 ,7.4," 31,067 ", (1.18),,,,,,,,,,,,,
JKL,ETF,0.30%,$0.71,1.82%,$347.70 ,2.9," 7,784 ", 1.26 ,,,,,,,,,,,,,
DBJP,ETF,0.51%,$0.09,1.87%,$347.50 ,9.2," 132,205 ", 2.04 ,,,,,,,,,,,,,
PFM,ETF,0.50%,$0.11,2.51%,$342.40 ,17.3," 44,584 ", 0.93 ,,,,,,,,,,,,,
RYT,ETF,0.50%,$0.17,1.09%,$336.60 ,4.4," 58,858 ", 1.14 ,,,,,,,,,,,,,
SCHC,ETF,0.20%,$0.90,2.86%,$334.90 ,10.7," 51,933 ", 1.13 ,,,,,,,,,,,,,
EDC,ETF,0.95%,$0.09,0.33%,$334.50 ,12.1," 2,024,603 ", (5.53),,,,,,,,,,,,,
QDF,ETF,0.37%,$0.20,1.38%,$328.00 ,9.9," 88,053 ", 0.92 ,,,,,,,,,,,,,
FEM,ETF,0.80%,$0.04,2.80%,$327.90 ,13.5," 179,902 ", (1.57),,,,,,,,,,,,,
PBS,ETF,0.60%,$0.02,0.56%,$325.30 ,12.4," 135,856 ", 1.57 ,,,,,,,,,,,,,
GCC,Commodity Pool,0.85%,,,$323.80 ,12.5," 81,039 ", (0.61),,,,,,,,,,,,,
URE,ETF,0.95%,$0.24,1.00%,$323.50 ,4.8," 111,956 ", (2.58),,,,,,,,,,,,,
PGJ,ETF,0.60%,$0.14,1.29%,$320.90 ,10.7," 181,098 ", 2.52 ,,,,,,,,,,,,,
EIDO,ETF,0.59%,$0.07,2.12%,$320.80 ,14.7," 513,730 ", (2.28),,,,,,,,,,,,,
DBO,Commodity Pool,0.79%,$1.28,,$312.50 ,11.2," 82,423 ", 1.07 ,,,,,,,,,,,,,
CGW,ETF,0.65%,$0.45,1.64%,$311.00 ,11.3," 43,308 ", 1.18 ,,,,,,,,,,,,,
PST,ETF,0.95%,$0.00,,$310.70 ,10.3," 108,295 ", 1.12 ,,,,,,,,,,,,,
ONEQ,ETF,0.30%,$0.52,0.84%,$310.40 ,1.9," 14,984 ", 1.15 ,,,,,,,,,,,,,
EPU,ETF,0.59%,$0.02,1.88%,$309.40 ,9.4," 110,573 ", (1.86),,,,,,,,,,,,,
XES,ETF,0.35%,$0.06,0.88%,$309.10 ,7.1," 56,583 ", (1.72),,,,,,,,,,,,,
DSI,ETF,0.50%,$0.25,1.27%,$302.50 ,4.4," 22,650 ", 1.04 ,,,,,,,,,,,,,
SMH,ETF,0.35%,$0.66,1.57%,$299.40 ,7.1," 1,172,911 ", 1.11 ,,,,,,,,,,,,,
DOL,ETF,0.48%,$0.29,3.16%,$293.10 ,5.7," 19,453 ", 1.18 ,,,,,,,,,,,,,
DDM,ETF,0.95%,$0.15,0.36%,$290.20 ,2.6," 263,689 ", 1.87 ,,,,,,,,,,,,,
PBE,ETF,0.60%,$0.08,1.70%,$289.90 ,7.8," 72,933 ", 2.06 ,,,,,,,,,,,,,
TAN,ETF,0.65%,$1.42,4.10%,$289.10 ,8.3," 638,559 ", (4.02),,,,,,,,,,,,,
TRXT,ETF,0.55%,,,$287.70 ,2.8,, -   ,,,,,,,,,,,,,
DBV,Commodity Pool,0.81%,$0.27,,$282.70 ,11.2," 73,661 ", (0.76),,,,,,,,,,,,,
DTH,ETF,0.58%,$0.35,3.87%,$281.20 ,6," 18,938 ", (1.16),,,,,,,,,,,,,
DFJ,ETF,0.58%,$0.68,2.07%,$280.20 ,5.6," 31,373 ", (1.57),,,,,,,,,,,,,
CUT,ETF,0.65%,$0.25,0.98%,$278.70 ,10.9," 46,325 ", 1.25 ,,,,,,,,,,,,,
PNQI,ETF,0.60%,$0.02,0.03%,$278.70 ,4.1," 70,625 ", 1.91 ,,,,,,,,,,,,,
TDIV,ETF,0.50%,$0.15,2.33%,$277.60 ,11.4," 83,113 ", 1.07 ,,,,,,,,,,,,,
JKF,ETF,0.25%,$0.62,2.52%,$276.80 ,3.5," 28,431 ", 1.04 ,,,,,,,,,,,,,
VIXY,Commodity Pool,0.85%,,,$275.20 ,9.8," 927,591 ", (3.68),,,,,,,,,,,,,
QQEW,ETF,0.60%,$0.08,0.46%,$274.60 ,7.6," 182,808 ", 1.13 ,,,,,,,,,,,,,
OIL,ETN,0.75%,,,$271.60 ,11.7," 398,795 ", 1.56 ,,,,,,,,,,,,,
DBE,Commodity Pool,0.78%,$0.90,,$270.70 ,9.2," 56,266 ", 1.12 ,,,,,,,,,,,,,
EPOL,ETF,0.59%,$0.73,3.30%,$270.70 ,9.2," 218,514 ", (2.08),,,,,,,,,,,,,
PPH,ETF,0.35%,$0.21,4.18%,$266.40 ,5," 32,856 ", 0.99 ,,,,,,,,,,,,,
AIA,ETF,0.50%,$0.47,2.09%,$265.00 ,5.6," 24,422 ", 1.58 ,,,,,,,,,,,,,
GLTR,Grantor Trust,0.60%,,,$263.90 ,4," 50,888 ", (2.07),,,,,,,,,,,,,
HAO,ETF,0.70%,$0.31,1.20%,$262.10 ,10.1," 125,170 ", 1.84 ,,,,,,,,,,,,,
EPHE,ETF,0.59%,$0.04,1.07%,$259.90 ,8.4," 227,328 ", (2.82),,,,,,,,,,,,,
CLY,ETF,0.20%,$0.23,4.50%,$258.50 ,4.7," 38,952 ", (0.97),,,,,,,,,,,,,
DOG,ETF,0.95%,$8.74,,$258.00 ,9.8," 412,814 ", (0.95),,,,,,,,,,,,,
YMLP,ETF,0.82%,$0.41,8.93%,$257.20 ,14," 83,436 ", 0.80 ,,,,,,,,,,,,,
DBEF,ETF,0.36%,$0.41,1.50%,$256.50 ,9.5," 87,248 ", 1.22 ,,,,,,,,,,,,,
DBAP,ETF,0.60%,$0.02,0.04%,$252.00 ,7,, 1.95 ,,,,,,,,,,,,,
DBEU,ETF,0.45%,$0.24,0.67%,$252.00 ,7,, 1.09 ,,,,,,,,,,,,,
DBUK,ETF,0.45%,$0.42,1.16%,$252.00 ,7,, -   ,,,,,,,,,,,,,
TWM,ETF,0.95%,$25.07,,$251.90 ,20.9," 1,958,805 ", (2.81),,,,,,,,,,,,,
RXI,ETF,0.48%,$0.42,1.23%,$250.00 ,3," 24,703 ", 1.15 ,,,,,,,,,,,,,
SLYV,ETF,0.25%,$0.28,1.35%,$249.80 ,2.4," 10,067 ", 1.32 ,,,,,,,,,,,,,
AOR,ETF,0.31%,$0.14,2.05%,$249.50 ,6.5," 39,622 ", 0.66 ,,,,,,,,,,,,,
UWM,ETF,0.95%,$0.01,0.02%,$248.40 ,2.9," 787,272 ", 2.78 ,,,,,,,,,,,,,
SCHR,ETF,0.10%,$0.05,1.05%,$247.20 ,4.8," 71,609 ", (0.32),,,,,,,,,,,,,
SCO,Commodity Pool,0.95%,,0.36%,$246.90 ,8.1," 1,556,380 ", (2.81),,,,,,,,,,,,,
VONE,ETF,0.12%,$0.35,1.73%,$245.90 ,2.9," 14,917 ", 1.01 ,,,,,,,,,,,,,
RYJ,ETF,0.75%,$0.08,0.24%,$245.70 ,7.4," 64,881 ", 1.20 ,,,,,,,,,,,,,
KLD,ETF,0.50%,$0.32,1.30%,$244.50 ,3.2," 9,342 ", 0.99 ,,,,,,,,,,,,,
RWJ,ETF,0.54%,$0.25,1.32%,$244.50 ,4.6," 26,600 ", 1.38 ,,,,,,,,,,,,,
PIO,ETF,0.75%,$0.09,1.80%,$243.60 ,10.8," 38,539 ", 1.24 ,,,,,,,,,,,,,
BWZ,ETF,0.50%,$0.00,0.01%,$239.30 ,6.7," 35,583 ", (0.52),,,,,,,,,,,,,
JKG,ETF,0.25%,$0.45,1.20%,$238.10 ,1.9," 5,564 ", 1.04 ,,,,,,,,,,,,,
BIK,ETF,0.50%,$0.13,3.51%,$237.70 ,10.1," 89,872 ", (1.85),,,,,,,,,,,,,
DBB,Commodity Pool,0.78%,$0.28,,$236.00 ,14," 111,959 ", 1.14 ,,,,,,,,,,,,,
CMF,ETF,0.25%,$0.30,3.07%,$235.30 ,2.2," 14,166 ", (0.37),,,,,,,,,,,,,
GMM,ETF,0.59%,$0.47,3.17%,$234.60 ,3.7," 20,953 ", (1.65),,,,,,,,,,,,,
VONG,ETF,0.15%,$0.29,1.41%,$230.60 ,2.6," 16,086 ", 1.00 ,,,,,,,,,,,,,
PSCT,ETF,0.29%,$0.06,0.21%,$230.20 ,5.2," 33,281 ", 1.46 ,,,,,,,,,,,,,
ADRE,UIT,0.30%,$0.43,2.59%,$229.90 ,6.2," 29,273 ", (1.63),,,,,,,,,,,,,
PBJ,ETF,0.60%,$0.07,1.56%,$229.80 ,8.8," 32,759 ", 1.40 ,,,,,,,,,,,,,
IBND,ETF,0.55%,$0.06,1.32%,$229.40 ,6.3," 65,911 ", 0.66 ,,,,,,,,,,,,,
KBWD,ETF,0.35%,$0.15,7.70%,$229.10 ,9.1," 42,002 ", 1.11 ,,,,,,,,,,,,,
REZ,ETF,0.48%,$0.51,3.91%,$228.50 ,5.1," 54,820 ", (1.42),,,,,,,,,,,,,
CSM,ETF,0.45%,$0.26,1.05%,$228.00 ,2.6," 19,525 ", 1.00 ,,,,,,,,,,,,,
IGN,ETF,0.48%,$0.02,0.38%,$225.60 ,7.1," 39,998 ", 1.53 ,,,,,,,,,,,,,
MLPL,ETN,0.85%,$1.37,8.97%,$224.50 ,4," 48,681 ", 2.52 ,,,,,,,,,,,,,
BIB,ETF,0.95%,$0.04,0.16%,$224.10 ,1.5," 60,595 ", 3.97 ,,,,,,,,,,,,,
EELV,ETF,0.29%,$0.18,2.48%,$224.10 ,8.2," 51,323 ", (1.49),,,,,,,,,,,,,
HYEM,ETF,0.40%,$0.12,6.05%,$222.50 ,8.8," 87,420 ", (0.93),,,,,,,,,,,,,
QUAL,ETF,0.15%,$0.19,0.63%,$222.30 ,4," 49,872 ", 0.93 ,,,,,,,,,,,,,
SMB,ETF,0.20%,$0.02,1.32%,$221.50 ,12.7," 75,986 ", 0.33 ,,,,,,,,,,,,,
PSK,ETF,0.45%,$1.17,9.92%,$220.20 ,5.6," 45,589 ", (0.49),,,,,,,,,,,,,
AOA,ETF,0.32%,$0.14,1.96%,$219.70 ,5," 26,906 ", 0.89 ,,,,,,,,,,,,,
TLH,ETF,0.15%,$0.27,2.41%,$217.80 ,1.8," 22,455 ", (0.78),,,,,,,,,,,,,
ASHR,ETF,1.08%,,,$216.20 ,9,, (2.48),,,,,,,,,,,,,
AMU,ETN,0.80%,$0.37,3.53%,$215.20 ,7.3," 57,377 ", 1.55 ,,,,,,,,,,,,,
IAI,ETF,0.48%,$0.19,1.13%,$215.10 ,5.6," 69,586 ", 1.46 ,,,,,,,,,,,,,
AOM,ETF,0.32%,$0.13,2.13%,$213.90 ,6.3," 36,739 ", 0.54 ,,,,,,,,,,,,,
CYB,ETF,0.45%,$0.20,0.78%,$213.90 ,8.4," 35,013 ", (1.11),,,,,,,,,,,,,
JXI,ETF,0.48%,$0.86,4.33%,$212.80 ,4.9," 30,295 ", (1.03),,,,,,,,,,,,,
JKJ,ETF,0.25%,$0.37,0.87%,$212.40 ,1.7," 6,069 ", 1.29 ,,,,,,,,,,,,,
MTK,ETF,0.50%,$0.28,1.30%,$209.90 ,2.4," 5,433 ", 1.26 ,,,,,,,,,,,,,
UVXY,Commodity Pool,0.95%,,,$209.40 ,12.8," 9,568,373 ", (7.48),,,,,,,,,,,,,
CHIQ,ETF,0.65%,$0.17,1.07%,$208.00 ,13.3," 116,195 ", (1.93),,,,,,,,,,,,,
URTY,ETF,0.95%,$0.01,0.02%,$207.30 ,2.4," 179,663 ", 4.20 ,,,,,,,,,,,,,
BGU,ETF,0.95%,$0.10,0.20%,$207.20 ,2.9," 994,423 ", 3.09 ,,,,,,,,,,,,,
RWL,ETF,0.49%,$0.14,1.56%,$206.80 ,5.7," 32,928 ", 1.02 ,,,,,,,,,,,,,
PBW,ETF,0.60%,$0.06,2.21%,$205.40 ,32.7," 451,066 ", (2.62),,,,,,,,,,,,,
PBP,ETF,0.75%,$0.69,9.11%,$202.80 ,9.7," 60,389 ", 0.47 ,,,,,,,,,,,,,
BFOR,ETF,0.65%,,,$202.20 ,6.8," 86,334 ", 1.32 ,,,,,,,,,,,,,
BSJD,ETF,0.42%,$0.02,2.65%,$201.90 ,7.9," 22,872 ", 0.07 ,,,,,,,,,,,,,
GLJ,ETF,0.20%,$0.18,0.91%,$200.00 ,3.1,, -   ,,,,,,,,,,,,,
FIW,ETF,0.60%,$0.04,0.77%,$197.70 ,5.9," 38,772 ", 1.44 ,,,,,,,,,,,,,
BRF,ETF,0.59%,$0.53,1.79%,$196.60 ,6.7," 92,988 ", (2.08),,,,,,,,,,,,,
PEJ,ETF,0.60%,$0.07,0.60%,$195.40 ,5.8," 62,064 ", 1.61 ,,,,,,,,,,,,,
PSCH,ETF,0.29%,$0.01,0.03%,$195.30 ,3.6," 41,828 ", 1.75 ,,,,,,,,,,,,,
MUNI,ETF,0.35%,$0.10,2.30%,$195.00 ,3.8," 35,083 ", (0.24),,,,,,,,,,,,,
BSCI,ETF,0.24%,$0.03,1.71%,$193.30 ,9.3," 58,359 ", (0.32),,,,,,,,,,,,,
EMHY,ETF,0.65%,$0.26,5.35%,$191.80 ,3.9," 28,334 ", (0.82),,,,,,,,,,,,,
JKH,ETF,0.30%,$0.18,0.37%,$191.40 ,1.4," 4,808 ", 1.05 ,,,,,,,,,,,,,
SIL,ETF,0.65%,$0.20,1.82%,$190.90 ,17.2," 155,962 ", (3.48),,,,,,,,,,,,,
VOOG,ETF,0.15%,$0.32,1.47%,$189.10 ,2.2," 11,975 ", 0.95 ,,,,,,,,,,,,,
ATMP,ETN,0.95%,$0.27,1.94%,$183.80 ,6.7," 38,000 ", 1.23 ,,,,,,,,,,,,,
BSCD,ETF,0.24%,$0.00,0.67%,$183.70 ,8.9," 31,386 ", 0.10 ,,,,,,,,,,,,,
FEU,ETF,0.29%,$0.18,3.50%,$183.30 ,4.7," 52,441 ", 1.23 ,,,,,,,,,,,,,
DBP,Commodity Pool,0.79%,$0.60,,$182.90 ,4.6," 42,331 ", (2.14),,,,,,,,,,,,,
MTUM,ETF,0.15%,$0.21,1.06%,$182.10 ,3.2," 8,137 ", 0.95 ,,,,,,,,,,,,,
VONV,ETF,0.15%,$0.40,1.95%,$180.30 ,2.2," 9,861 ", 1.00 ,,,,,,,,,,,,,
IDX,ETF,0.57%,$0.72,3.50%,$179.60 ,8.8," 197,981 ", (2.15),,,,,,,,,,,,,
TLTE,ETF,0.65%,$0.05,0.10%,$177.90 ,3.5," 36,130 ", (1.20),,,,,,,,,,,,,
BGZ,ETF,0.95%,,,$177.10 ,7.8," 2,226,701 ", (3.06),,,,,,,,,,,,,
CORP,ETF,0.20%,$0.26,3.71%,$176.30 ,1.8," 19,552 ", (1.20),,,,,,,,,,,,,
