Symbol,Structure,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,,,,,,,,,,,,,
ACWI,ETF,0.35%,$0.46,1.92%,"$5,220.70 ",91.8," 1,345,256 ", 1.05 ,,,,,,,,,,,,,
MBB,ETF,0.31%,$0.14,1.14%,"$5,187.70 ",49.6," 587,870 ", (0.36),,,,,,,,,,,,,
FEZ,ETF,0.29%,$0.19,3.17%,"$4,910.70 ",117.2," 1,865,980 ", 1.49 ,,,,,,,,,,,,,
XLU,ETF,0.18%,$0.40,4.94%,"$4,819.70 ",127.6," 10,609,830 ", (1.10),,,,,,,,,,,,,
VV,ETF,0.10%,$0.38,1.79%,"$4,670.40 ",55.3," 164,020 ", 1.02 ,,,,,,,,,,,,,
DEM,ETF,0.63%,$0.78,4.06%,"$4,639.60 ",92," 735,612 ", (1.65),,,,,,,,,,,,,
MOO,ETF,0.53%,$0.93,1.72%,"$4,612.60 ",85.2," 234,252 ", 0.92 ,,,,,,,,,,,,,
IJK,ETF,0.25%,$0.38,0.89%,"$4,593.70 ",30.8," 171,222 ", 1.21 ,,,,,,,,,,,,,
TBT,ETF,0.95%,$0.17,,"$4,554.40 ",57.3," 3,469,997 ", 2.44 ,,,,,,,,,,,,,
IBB,ETF,0.48%,$0.07,0.08%,"$4,450.80 ",19.6," 978,666 ", 2.12 ,,,,,,,,,,,,,
VGT,ETF,0.14%,$0.94,2.00%,"$4,406.30 ",49.5," 268,800 ", 1.05 ,,,,,,,,,,,,,
OEF,ETF,0.20%,$0.46,1.96%,"$4,239.90 ",51.7," 876,980 ", 0.95 ,,,,,,,,,,,,,
XLB,ETF,0.18%,$0.28,2.80%,"$4,225.70 ",91.8," 4,998,369 ", 1.25 ,,,,,,,,,,,,,
RWX,ETF,0.59%,$0.86,8.63%,"$4,083.80 ",101.4," 414,489 ", (1.12),,,,,,,,,,,,,
GDX,ETF,0.52%,$0.19,0.93%,"$3,953.60 ",191.6," 37,617,224 ", (3.64),,,,,,,,,,,,,
MINT,ETF,0.35%,$0.06,0.77%,"$3,874.00 ",38.3," 463,106 ", (0.06),,,,,,,,,,,,,
VBR,ETF,0.21%,$1.80,1.88%,"$3,873.90 ",40," 117,181 ", 1.17 ,,,,,,,,,,,,,
BIV,ETF,0.11%,$0.21,3.23%,"$3,696.80 ",45.3," 264,934 ", (0.50),,,,,,,,,,,,,
IEF,ETF,0.15%,$0.16,1.76%,"$3,648.00 ",36.7," 978,880 ", (0.58),,,,,,,,,,,,,
VBK,ETF,0.10%,$0.78,0.65%,"$3,623.90 ",29.8," 159,852 ", 1.37 ,,,,,,,,,,,,,
