release_datetime
1/14/2000 8:30
2/18/2000 8:30
3/17/2000 8:30
4/14/2000 8:30
5/16/2000 8:30
6/14/2000 8:30
7/18/2000 8:30
9/15/2000 8:30
10/18/2000 8:30
11/16/2000 8:30
12/15/2000 8:30
1/17/2001 8:30
2/21/2001 8:30
3/21/2001 8:30
4/17/2001 8:30
5/16/2001 8:30
6/15/2001 8:30
7/18/2001 8:30
8/16/2001 8:30
9/18/2001 8:30
10/19/2001 8:30
11/16/2001 8:30
12/14/2001 8:30
1/16/2002 8:30
2/20/2002 8:30
3/21/2002 8:30
4/16/2002 8:30
5/15/2002 8:30
6/18/2002 8:30
7/19/2002 8:30
8/16/2002 8:30
9/18/2002 8:30
10/18/2002 8:30
11/19/2002 8:30
12/17/2002 8:30
1/16/2003 8:30
2/21/2003 8:30
3/21/2003 8:30
4/16/2003 8:30
5/16/2003 8:30
6/17/2003 8:30
7/16/2003 8:30
8/15/2003 8:30
9/16/2003 8:30
10/16/2003 8:30
11/18/2003 8:30
12/16/2003 8:30
1/15/2004 8:30
2/20/2004 8:30
3/17/2004 8:30
4/14/2004 8:30
5/14/2004 8:30
6/15/2004 8:30
7/16/2004 8:30
8/17/2004 8:30
9/16/2004 8:30
10/19/2004 8:30
11/17/2004 8:30
12/17/2004 8:30
1/19/2005 8:30
2/23/2005 8:30
3/23/2005 8:30
4/20/2005 8:30
5/18/2005 8:30
6/15/2005 8:30
7/14/2005 8:30
8/16/2005 8:30
9/15/2005 8:30
10/14/2005 8:30
11/16/2005 8:30
12/15/2005 8:30
1/18/2006 8:30
2/22/2006 8:30
3/16/2006 8:30
4/19/2006 8:30
5/17/2006 8:30
6/14/2006 8:30
7/19/2006 8:30
8/16/2006 8:30
9/15/2006 8:30
10/18/2006 8:30
11/16/2006 8:30
12/15/2006 8:30
1/18/2007 8:30
2/21/2007 8:30
3/16/2007 8:30
4/17/2007 8:30
5/15/2007 8:30
6/15/2007 8:30
7/18/2007 8:30
8/15/2007 8:30
9/19/2007 8:30
10/17/2007 8:30
11/15/2007 8:30
12/14/2007 8:30
1/16/2008 8:30
2/20/2008 8:30
3/14/2008 8:30
4/16/2008 8:30
5/14/2008 8:30
6/13/2008 8:30
7/16/2008 8:30
8/14/2008 8:30
9/16/2008 8:30
10/16/2008 8:30
11/19/2008 8:30
12/16/2008 8:30
1/16/2009 8:30
2/20/2009 8:30
3/18/2009 8:30
4/15/2009 8:30
5/15/2009 8:30
6/17/2009 8:30
7/15/2009 8:30
8/14/2009 8:30
9/16/2009 8:30
10/15/2009 8:30
11/18/2009 8:30
12/16/2009 8:30
1/15/2010 8:30
2/19/2010 8:30
3/18/2010 8:30
4/14/2010 8:30
5/19/2010 8:30
6/17/2010 8:30
7/16/2010 8:30
8/13/2010 8:30
9/17/2010 8:30
10/15/2010 8:30
11/17/2010 8:30
12/15/2010 8:30
1/14/2011 8:30
2/17/2011 8:30
3/17/2011 8:30
4/15/2011 8:30
5/13/2011 8:30
6/15/2011 8:30
7/15/2011 8:30
8/18/2011 8:30
9/15/2011 8:30
10/19/2011 8:30
11/16/2011 8:30
12/16/2011 8:30
1/19/2012 8:30
2/17/2012 8:30
3/16/2012 8:30
4/13/2012 8:30
5/15/2012 8:30
6/14/2012 8:30
7/17/2012 8:30
8/15/2012 8:30
9/14/2012 8:30
10/16/2012 8:30
11/15/2012 8:30
12/14/2012 8:30
1/16/2013 8:30
2/21/2013 8:30
3/15/2013 8:30
4/16/2013 8:30
5/16/2013 8:30
6/18/2013 8:30
7/16/2013 8:30
8/15/2013 8:30
9/17/2013 8:30
10/30/2013 8:30
11/20/2013 8:30
12/17/2013 8:30
1/16/2014 8:30
2/20/2014 8:30
3/18/2014 8:30
4/15/2014 8:30
5/15/2014 8:30
6/17/2014 8:30
7/22/2014 8:30
8/19/2014 8:30
9/17/2014 8:30
10/22/2014 8:30
11/20/2014 8:30
12/17/2014 8:30
1/16/2015 8:30
2/26/2015 8:30
3/24/2015 8:30
4/17/2015 8:30
5/22/2015 8:30
6/18/2015 8:30
7/17/2015 8:30
8/19/2015 8:30
9/16/2015 8:30
10/15/2015 8:30
11/17/2015 8:30
12/15/2015 8:30
1/20/2016 8:30
2/19/2016 8:30
3/16/2016 8:30
4/14/2016 8:30
5/17/2016 8:30
6/16/2016 8:30
7/15/2016 8:30
8/16/2016 8:30
9/16/2016 8:30
10/18/2016 8:30
11/17/2016 8:30
12/15/2016 8:30
1/18/2017 8:30
2/15/2017 8:30
3/15/2017 8:30
4/14/2017 8:30
5/12/2017 8:30
6/14/2017 8:30
7/14/2017 8:30
8/11/2017 8:30
9/14/2017 8:30
10/13/2017 8:30
11/15/2017 8:30
12/13/2017 8:30
1/12/2018 8:30
2/14/2018 8:30
3/13/2018 8:30
4/11/2018 8:30
5/10/2018 8:30
6/12/2018 8:30
7/12/2018 8:30
8/10/2018 8:30
9/13/2018 8:30
10/11/2018 8:30
11/14/2018 8:30
12/12/2018 8:30
1/11/2019 8:30
2/13/2019 8:30
3/12/2019 8:30
4/10/2019 8:30
5/10/2019 8:30
6/12/2019 8:30
7/11/2019 8:30
8/13/2019 8:30
9/12/2019 8:30
10/10/2019 8:30
11/13/2019 8:30
12/11/2019 8:30
1/14/2020 8:30
2/13/2020 8:30
3/11/2020 8:30
4/10/2020 8:30
5/12/2020 8:30
6/10/2020 8:30
7/14/2020 8:30
8/12/2020 8:30
9/11/2020 8:30
10/13/2020 8:30
11/12/2020 8:30
12/10/2020 8:30
